Sample,treatment,experiment,timepoint,replicate
flowcell203_lane7_ACAGTG_3D0,lema,timecourse,0h,3
flowcell203_lane7_ATCACG_1C0,control,timecourse,0h,1
flowcell203_lane7_CGATGT_3C0,control,timecourse,0h,3
flowcell203_lane7_GCCAAT4D0,lema,timecourse,0h,4
flowcell203_lane7_TGACCA1D0,lema,timecourse,0h,1
flowcell203_lane7_TTAGGC4C0,control,timecourse,0h,4
flowcell206_lane5_ACTTGA3c12,control,timecourse,12h,3
flowcell206_lane5_CAGATC1c12,control,timecourse,12h,1
flowcell206_lane5_CTTGTA4d12,lema,timecourse,12h,4
flowcell206_lane5_GATCAG4c12,control,timecourse,12h,4
flowcell206_lane5_GGCTAC3d12,lema,timecourse,12h,3
flowcell206_lane5_TAGCTT1d12,lema,timecourse,12h,1
flowcell210_lane6_ACTTGA3c24,control,timecourse,24h,3
flowcell210_lane6_GATCAG4c24,control,timecourse,24h,4
flowcell210_lane6_GGCTAC3d24,lema,timecourse,24h,3
flowcell215_lane2_ACAGTG3D,lema,timecourse,48h,3
flowcell215_lane2_ATCACG1C,control,timecourse,48h,1
flowcell215_lane2_CGATGT3C,control,timecourse,48h,3
flowcell215_lane2_GCCAAT4D,lema,timecourse,48h,4
flowcell215_lane2_TGACCA1D,lema,timecourse,48h,1
flowcell215_lane2_TTAGGC4C,control,timecourse,48h,4
flowcell215_lane3_ACTTGA3C,control,timecourse,96h,3
flowcell215_lane3_GATCAG4C,control,timecourse,96h,4
flowcell215_lane3_GGCTAC3D,lema,timecourse,96h,3
flowcell215_lane3_TAGCTT1D,lema,timecourse,96h,1
flowcell220_lane8_ATCACG1c24c,control,timecourse,96h,1
flowcell223_lane1_CAGATC1C,control,timecourse,96h,1
flowcell223_lane1_CTTGTA4D,lema,timecourse,96h,4
