MF_GO_IDs,gene
GO:0000009,_ptg000012l_000043
GO:0000026,_ptg000016l_001226
GO:0000030,_ptg000002l_000043
GO:0000030,_ptg000009l_000400
GO:0000030,_ptg000016l_002119
GO:0000049,_ptg000006l_001883
GO:0000049,_ptg000006l_000493
GO:0000049,_ptg000006l_001488
GO:0000049,_ptg000018l_001446
GO:0000049,_ptg000002l_000440
GO:0000049,_ptg000019l_001445
GO:0000049,_ptg000023l_000501
GO:0000049,_ptg000010l_001543
GO:0000062,_ptg000014l_000748
GO:0000062,_ptg000006l_000416
GO:0000062,_ptg000001l_000272
GO:0000062,_ptg000010l_002287
GO:0000107,_ptg000016l_000108
GO:0000155,_ptg000009l_000541
GO:0000155,_ptg000023l_000292
GO:0000155,_ptg000018l_002014
GO:0000155,_ptg000001l_000266
GO:0000155,_ptg000006l_001858
GO:0000155,_ptg000001l_000265
GO:0000155,_ptg000016l_000616
GO:0000155,_ptg000025l_001129
GO:0000155,_ptg000019l_001154
GO:0000166,_ptg000025l_000352
GO:0000166,_ptg000016l_002290
GO:0000166,_ptg000004l_000611
GO:0000166,_ptg000001l_000783
GO:0000166,_ptg000014l_000579
GO:0000166,_ptg000038l_000476
GO:0000166,_ptg000003l_000574
GO:0000166,_ptg000019l_000578
GO:0000166,_ptg000010l_000172
GO:0000166,_ptg000025l_000891
GO:0000166,_ptg000020l_001389
GO:0000166,_ptg000010l_000800
GO:0000166,_ptg000023l_000502
GO:0000166,_ptg000014l_000932
GO:0000166,_ptg000008l_000800
GO:0000166,_ptg000012l_000670
GO:0000166,_ptg000010l_002542
GO:0000166,_ptg000014l_000715
GO:0000166,_ptg000016l_002264
GO:0000166,_ptg000006l_001890
GO:0000166,_ptg000018l_001829
GO:0000166,_ptg000006l_001877
GO:0000166,_ptg000018l_000843
GO:0000166,_ptg000014l_001109
GO:0000166,_ptg000020l_001421
GO:0000166,_ptg000020l_001646
GO:0000166,_ptg000027l_000766
GO:0000166,_ptg000010l_000099
GO:0000166,_ptg000010l_001017
GO:0000166,_ptg000010l_001205
GO:0000166,_ptg000024l_000043
GO:0000166,_ptg000006l_002089
GO:0000166,_ptg000024l_000042
GO:0000166,_ptg000014l_001626
GO:0000166,_ptg000014l_001134
GO:0000166,_ptg000025l_000309
GO:0000166,_ptg000001l_001344
GO:0000166,_ptg000027l_001041
GO:0000175,_ptg000011l_000173
GO:0000175,_ptg000006l_001689
GO:0000179,_ptg000014l_000979
GO:0000179,_ptg000014l_001289
GO:0000225,_ptg000006l_000760
GO:0000234,_ptg000018l_000608
GO:0000250,_ptg000023l_000892
GO:0000250,_ptg000016l_000710
GO:0000287,_ptg000362l_000004
GO:0000287,_ptg000732l_000016
GO:0000287,_ptg000691l_000004
GO:0000287,_ptg000780l_000012
GO:0000287,_ptg000013l_000001
GO:0000287,_ptg000223l_000016
GO:0000287,_ptg000568l_000004
GO:0000287,_ptg000619l_000002
GO:0000287,_ptg000430l_000011
GO:0000287,_ptg000299l_000002
GO:0000287,_ptg000096l_000011
GO:0000287,_ptg000270l_000004
GO:0000287,_ptg001118l_000007
